item_id,title,price_value,price_currency,shipping_cost,condition,buying_options,item_web_url,image_url,result_type
v1|336562911685|0,JBL L100 Classic Black Edition Speakers - GLOSS BLACK - Pair - BRAND NEW,4597.0,USD,0.0,New,"FIXED_PRICE, BEST_OFFER",https://www.ebay.com/itm/336562911685?_skw=JBL+L100&hash=item4e5cb679c5:g:pvQAAeSwWvdp9NI2,https://i.ebayimg.com/images/g/pvQAAeSwWvdp9NI2/s-l225.jpg,EXACT_FULL_UNIT
v1|277689597393|0,JBL L82 Classic Bookshelf Speaker (Pair) | Black,1999.99,USD,0.0,New,FIXED_PRICE,https://www.ebay.com/itm/277689597393?_skw=JBL+L100&hash=item40a796fdd1:g:NK0AAeSw0dlpfigR,https://i.ebayimg.com/images/g/NK0AAeSw0dlpfigR/s-l225.jpg,EXACT_FULL_UNIT
v1|188326136765|0,Dark Charcoal .. Pair.. Foam speaker grille inserts.. Vintage JBL L-100 Century,95.0,USD,,New,FIXED_PRICE,https://www.ebay.com/itm/188326136765?_skw=JBL+L100&hash=item2bd91ccbbd:g:tMsAAeSwMENpp9oA,https://i.ebayimg.com/images/g/tMsAAeSwMENpp9oA/s-l225.jpg,EXACT_FULL_UNIT
v1|267615047320|0,Pair JBL L100 Century Vintage Speakers - Tested Working,1750.0,USD,200.0,Used,FIXED_PRICE,https://www.ebay.com/itm/267615047320?_skw=JBL+L100&hash=item3e4f198e98:g:hcAAAeSwl8Fpva22,https://i.ebayimg.com/images/g/hcAAAeSwl8Fpva22/s-l225.jpg,EXACT_FULL_UNIT
v1|366347627083|0,JBL L100 2nd Generation Speakers (1 pair),3975.0,USD,0.0,Used,"FIXED_PRICE, BEST_OFFER",https://www.ebay.com/itm/366347627083?_skw=JBL+L100&hash=item554c052a4b:g:3JIAAeSwcSpp3q0S,https://i.ebayimg.com/images/g/3JIAAeSwcSpp3q0S/s-l225.jpg,EXACT_FULL_UNIT
v1|287112725664|0,JBL L82 Classic Bookshelf Speaker (Pair) | Blue,1999.99,USD,0.0,New,FIXED_PRICE,https://www.ebay.com/itm/287112725664?_skw=JBL+L100&hash=item42d94084a0:g:mDQAAeSwDCxpfiaC,https://i.ebayimg.com/images/g/mDQAAeSwDCxpfiaC/s-l225.jpg,EXACT_FULL_UNIT
v1|188300513521|0,Subtle Rust..Foam speaker grille inserts..   Pair.. Vintage JBL L-100 Century,135.0,USD,,New,FIXED_PRICE,https://www.ebay.com/itm/188300513521?_skw=JBL+L100&hash=item2bd795d0f1:g:SUUAAeSww8ppvS4z,https://i.ebayimg.com/images/g/SUUAAeSww8ppvS4z/s-l225.jpg,EXACT_FULL_UNIT
v1|287301988929|0,JBL 4311 Monitor Speakers - 4311WX  - Studio Version Of L100,1995.0,USD,100.0,Used,"FIXED_PRICE, BEST_OFFER",https://www.ebay.com/itm/287301988929?_skw=JBL+L100&hash=item42e4887241:g:VkQAAeSwRiNp1~uL,https://i.ebayimg.com/images/g/VkQAAeSwRiNp1~uL/s-l225.jpg,EXACT_FULL_UNIT
v1|277837613776|0,"JBL L100 Classic 12"" 3-Way Bookshelf Speakers Black Limited Edition (Pair)",4800.0,USD,0.0,New,FIXED_PRICE,https://www.ebay.com/itm/277837613776?_skw=JBL+L100&hash=item40b0698ad0:g:yjkAAeSwBJRpF45q,https://i.ebayimg.com/images/g/yjkAAeSwBJRpF45q/s-l225.jpg,EXACT_FULL_UNIT
v1|366345101679|0,JBL L100 2nd Generation Speakers (1 pair),3975.0,USD,0.0,Used,"FIXED_PRICE, BEST_OFFER",https://www.ebay.com/itm/366345101679?_skw=JBL+L100&hash=item554bdea16f:g:i-kAAeSwEPFp3R55,https://i.ebayimg.com/images/g/i-kAAeSwEPFp3R55/s-l225.jpg,EXACT_FULL_UNIT
