item_id,title,price_value,price_currency,shipping_cost,condition,buying_options,item_web_url,image_url
v1|326974301751|0,McIntosh MA5100 Integrated Amplifier Vintage Solid State Wood Cabinet – Works,1599.99,USD,125.0,Used,"FIXED_PRICE, BEST_OFFER",https://www.ebay.com/itm/326974301751?_skw=McIntosh+MA+5100&hash=item4c212fe637:g:8w0AAeSw~rlpebqz,https://i.ebayimg.com/images/g/8w0AAeSw~rlpebqz/s-l225.jpg
v1|298171302676|0,McIntosh MA 5100 Preamplifier Amplifier 45 WPC Perfect Working Condition,1495.0,USD,,Used,FIXED_PRICE,https://www.ebay.com/itm/298171302676?_skw=McIntosh+MA+5100&hash=item456c650314:g:5JIAAeSwh91pyJkv,https://i.ebayimg.com/images/g/5JIAAeSwh91pyJkv/s-l225.jpg
v1|226132158625|0,"Vintage McIntosh MA-5100 Preamp - Amplifier, Working Free Shipping!",1299.99,USD,0.0,Used,"FIXED_PRICE, BEST_OFFER",https://www.ebay.com/itm/226132158625?_skw=McIntosh+MA+5100&hash=item34a686e8a1:g:S-EAAOSwzUtmNVHU,https://i.ebayimg.com/images/g/S-EAAOSwzUtmNVHU/s-l225.jpg
v1|303178447747|0,Vintage McIntosh MA5100 PreAmplifier  front panel lamps LED.,28.99,USD,4.0,New,FIXED_PRICE,https://www.ebay.com/itm/303178447747?_skw=McIntosh+MA+5100&hash=item4696d7fb83:g:9FEAAOSw0AFcsM9~,https://i.ebayimg.com/images/g/9FEAAOSw0AFcsM9~/s-l225.jpg
v1|155126518114|0,McIntosh MA5100 Volume Pot control loudness potentiometer,145.0,USD,7.5,New,FIXED_PRICE,https://www.ebay.com/itm/155126518114?_skw=McIntosh+MA+5100&hash=item241e42d162:g:HT8AAOSw5-JjrL~k,https://i.ebayimg.com/images/g/HT8AAOSw5-JjrL~k/s-l225.jpg
v1|406372885657|0,mcintosh ma5100 integrated amplifier vintage,1800.0,USD,,Used,"FIXED_PRICE, BEST_OFFER",https://www.ebay.com/itm/406372885657?_skw=McIntosh+MA+5100&hash=item5e9db62499:g:fbsAAeSwELNpE40Z&amdata=enc%3AAQALAAAA8ACCtXRWQnOEpyOqnQQ8KGZ2E4JB508eKU5H%2FUGweU0Vc03%2BCmGzC0C58xBFPpeOArpORznLF1DJbLqWm3bcY2rkMIOBsneUiM1gC%2FKNF4K9xsHXkhPuaV1uSk%2BBH98%2FF07VTZoU8S33cnoUEFco9A8yHNDjNfxQ5GBx%2BDRxPAqIxXQMiZz3pqZgccYdSIq6VnQqeae0ngLdp6pwDHs3wpSdbgjj%2FwlucEpt8XhODCZRJdSMks8dUhYHbjimAZp9rR3AeBU34P82oBQPLy5PF%2FpVLNucCM2gLjYpqc0JCVWzapH51PyLbQFRTh8VSRuoAw%3D%3D,https://i.ebayimg.com/images/g/fbsAAeSwELNpE40Z/s-l225.jpg
v1|327070530181|0,McIntosh MA 5100 Preamplifier Amplifier 45 WPC Perfect Working Condition,1999.99,USD,,Used,"FIXED_PRICE, BEST_OFFER",https://www.ebay.com/itm/327070530181?_skw=McIntosh+MA+5100&hash=item4c26ec3a85:g:HsEAAeSwh-xpxcIt&amdata=enc%3AAQALAAAA8ACCtXRWQnOEpyOqnQQ8KGbfrjnAMXNHBIoz18uT72L%2Fj%2Fw575yHLIKDJW8wnTMHOAvGkzANvJ8hOZqoTk69XzvSKdnfnYVkJPxw80aH5WILtOxs57WmBHNSntyw1lMedSPF3ouIkmn6r2iD3r6SnOsvz5AjNb0zBqIHBARzQndpyGXElUJURLImnUks%2Fr5PspB%2BqIjJ%2BjgFJb7rCoKcGY%2BfTZ3MsxnSF%2BIuO6uIR6%2FYCtcUXEj1nk9G01Jk3TzjxpGnBx01TuoP6288fvJpjGcCd%2BJSwIlEZwnvdHEgqsTeZFIT%2FEV6lr4uD%2FkcHefLKQ%3D%3D,https://i.ebayimg.com/images/g/HsEAAeSwh-xpxcIt/s-l225.jpg
v1|296105770807|0,Mcintosh MA5100 Heat Sink & Transistors Free Shipping,45.0,USD,9.0,Used,FIXED_PRICE,https://www.ebay.com/itm/296105770807?_skw=McIntosh+MA+5100&hash=item44f1477f37:g:4bcAAOSwwQNleSVe,https://i.ebayimg.com/images/g/4bcAAOSwwQNleSVe/s-l225.jpg
v1|296435534006|0,Mcintosh MA5100 Tape/Phase/Power Buttons Switch Free Shipping,45.0,USD,0.0,Used,FIXED_PRICE,https://www.ebay.com/itm/296435534006?_skw=McIntosh+MA+5100&hash=item4504ef48b6:g:Fu4AAOSwQwhleei-,https://i.ebayimg.com/images/g/Fu4AAOSwQwhleei-/s-l225.jpg
v1|167101041569|0,"McIntosh MA 5100 Amplifier Review, 2 pgs, 1966, Specs",9.99,USD,3.0,Used,FIXED_PRICE,https://www.ebay.com/itm/167101041569?_skw=McIntosh+MA+5100&hash=item26e7ff8ba1:g:cX4AAMXQiOdQ4EQ5,https://i.ebayimg.com/images/g/cX4AAMXQiOdQ4EQ5/s-l225.jpg
v1|296105760560|0,Mcintosh MA5100 Mode Selector Switch Free Shipping,75.0,USD,0.0,Used,FIXED_PRICE,https://www.ebay.com/itm/296105760560?_skw=McIntosh+MA+5100&hash=item44f1475730:g:OtQAAOSw31ZleSQh,https://i.ebayimg.com/images/g/OtQAAOSw31ZleSQh/s-l225.jpg
