model,brand,category,title,sold_price,sold_date,condition,url,comp_classification,reason
,,,2 New Harman-Kardon Tuning Needle BULBS 6.3v 70mA Lights - HK385i Dial Pointer,4.0,2026-02-19T00:00:00.000Z,,https://www.ebay.com/itm/127324379468?_skw=Harman+Kardon+HK385i&itmmeta=01KQV2KZ03ECXZYGQW6774HF6P&hash=item1da51fd94c:g:I10AAOSwXddjKMdf&itmprp=enc%3AAQALAAAA8GfYFPkwiKCW4ZNSs2u11xDvGsizqCe%2FNek7VRdU3wpQJydAXJBX0ZF0h0j0VEJcebD962dwcDCdQrxB3AIvRI9vtJD31oG8HE3V5p36Qbbmzyr8a87xFle3ehwqIoRBWrGCltBbkKvIG5BJgu8%2BD0kYKhJZhBysEsw%2BMi6hOcdlt5X1HNHYu7H5hfsXfVcJYVwI0aHv8jRSR%2BoyAFvbsoAGP1Ptt2QRgydcVc1l4UR5JmFrrbwOIgx7FrJ3qe41gSTbdxcwUeyWHlyK8ViCJb0zUZWwusDPJkld195hy1YDIvSH7lYJEorRbQP4CAtOEA%3D%3D%7Ctkp%3ABk9SR7Dwz-K-Zw,REJECT,Hard reject term: bulbs
,,,A1103 G4 Mac Mini 1.33ghz 1gb Ram 80gb HDD Radeon 9200,149.0,2026-05-04T00:00:00.000Z,,https://www.ebay.com/itm/206243273589?_skw=Apple+Power+Mac+G4&itmmeta=01KQV4NQRECMZKW3DP8RRF2R13&hash=item30050e9b75:g:m6cAAeSwkJNp6ph7&itmprp=enc%3AAQALAAAA0GfYFPkwiKCW4ZNSs2u11xAtWWKOzoRIxrGJLRZI0uz%2BWcl4aAigd6M7xer2rQljPYC6qnncVoL0dx8H3fjRQeaWtDDMQjas3nSfSQS7euAbH4pmt6DibdO1iKTba4277HxgalGXmKVIOxY3O1lgAoleyajh2JG6kNZP3d1ugzle1RQyTTeBVZ4Q4nLviyduMFoy6V1jaATneEjDLo07vXwDKMlFVh01GRMzZHeqs9j%2BU%2F2ZK6fLK%2BfVWp%2BKcOTmihzeK1O1g5uJ7g4mEkcEsbg%3D%7Ctkp%3ABk9SR7L81uS-Zw,REJECT,No exact model detected
Apple (model unknown),Apple,unknown,"Apple A1058 17"" AIO All-in-One G5 PowerPC 1.80GHz 768MB RAM 250GB HDD",56.0,2026-04-29T00:00:00.000Z,,https://www.ebay.com/itm/137254332368?_skw=Apple+iMac+G5&itmmeta=01KQV4NM18TQ7PTRBGQ3B2MC5M&hash=item1ff4fee7d0:g:yGkAAeSwe5tp6720&itmprp=enc%3AAQALAAAA0GfYFPkwiKCW4ZNSs2u11xCoDLuR%2Fs9hqGZXhY%2FSU8yufDs%2ByjlZFAOU17274pllJzI%2Ftr6bDEhxztiaQJC6O%2BEx7KmGZY5vTeIw%2F0S4M63y9DIC8gMd43HgWlP78j6PAf6K1yuCojleNl0wZXY43BmfRpOazHT9Dp1Yus9xkR65i4RMTFwY27PvuW9YaryGZCUefClAqeomI%2F7PLqYMWdBwhVfqObJUEM6VwLAGN9i2md9fX%2FBn95VnBPscffp3w8R%2BLhVoVe%2BCCKr3rWuNjew%3D%7Ctkp%3ABk9SR_LA1uS-Zw,REJECT,No exact model detected
Apple computer (model unknown),Apple,computer,"Apple iMac 15"" Desktop With DVD Drive",67.0,2026-05-03T00:00:00.000Z,,https://www.ebay.com/itm/366371543644?_skw=Apple+Power+Mac+G4&epid=78109922&itmmeta=01KQV4NQRE5Y0Z744KQRW8G78V&hash=item554d721a5c:g:tJMAAeSw-dNp7nWy&itmprp=enc%3AAQALAAAA0GfYFPkwiKCW4ZNSs2u11xDq40j0gb81hNmNiCOpc%2F8MepS0DXBTi%2Buz1vLOmqm5BdNf6KVE3ZINoE1kcFnsaeuOPH1pr6lfFpkchXGBFpl0QWXq4%2BswKi%2FkobuZMFkfstNJ4KCjC3KcIQFu6erv1Lh9bBUWhBgcN4n6pI8sDxj%2Fxd85Jc7cSA6QWOKPhHTH3WVky4%2BXdi%2Bmj27KfXxDU%2FFlaD5BjHevFR2zUOuKVjHQDZl3jb9QG1UmS2FEmRgHxX2B6O3TGnyM5o%2Ba2CJFOlw%3D%7Ctkp%3ABk9SR7L81uS-Zw,REJECT,No exact model detected
Apple iMac G4,Apple,computer,"Apple - IMAC G4 2.1 M6498 - 700 MHz 1 GB 80GB Geforce4 MX 15""",174.97,2026-04-20T00:00:00.000Z,,https://www.ebay.com/itm/155501649961?_skw=Apple+iMac+G4&epid=1101592893&itmmeta=01KQV4N9MCQ3HM6BEQT7114MGS&hash=item24349ee029:g:QdQAAOSw9ZlkNukC&itmprp=enc%3AAQALAAAA8GfYFPkwiKCW4ZNSs2u11xAKUOrrbfAC%2BljhpbaGMgsbrKv7mGGI2aT6edBhR9khtE5e%2BP%2FN4tfGn6gHoYPcSTVcYvd%2ByjATZod9G7HKEe5fgjnjvpZgOd7apbCofUapeTgC7YsT9uWcMF1noOr46QiwCTAPx3EFgi2q%2Bde3UU%2FoNi3nSzyUYDC6hO9p8w4gIXnWv9pqALhRt1H59APEPYTz3IOdzzq5Mc4yqkdEpFGem4htvCH1rYBqF6pZOcdje2vHnaBwOD7U3GwLUlocyjwSPcEsucJMAOK1FanMt7uRCVo04AX9kvLJ1MB%2FokyX%2FQ%3D%3D%7Ctkp%3ABk9SR8Ka1eS-Zw,FULL_UNIT,"Exact model, no hard reject terms, above price floor"
Apple iMac G4,Apple,computer,Apple iMac G4 1.25GHZ/ 256 MB / 80 HD M9290LL/A A1065 with 1.25gb ram upgrade,320.0,2026-04-22T00:00:00.000Z,,https://www.ebay.com/itm/267628184842?_skw=Apple+iMac+G4&itmmeta=01KQV4N9MC1X7MNSPX0688X68G&hash=item3e4fe2050a:g:yqAAAeSwdj5pzzWw&itmprp=enc%3AAQALAAAA8GfYFPkwiKCW4ZNSs2u11xAhruqeozBUQL4jew033ku58HIVUQNensTXzJ9GVqZrsg1STBSgXbT%2BwpYAIOr5jXuCepfRddB5prNUY23sIXow1PYo7U8Ffaf843Vi5Clyd0hNaFl9plLl3dxG9aRttOjvuO907n2P1sORr7M2l8xpy9qHMQifV3bPjQwLVRP%2F0E6jD4hSpl0ii5r9kvPlbJTh7vBzWEivI6qi%2Fu0Bx3f8Zu6HZfkOcDdUf4PuddqL%2Bmb%2FRAznwRaSxHxX1ScWgmC8YWeMrC%2FPxTJ%2Bw1LxTsUdzxL4Yi7ytVzedA9lJ71PVw%3D%3D%7Ctkp%3ABk9SR8Ka1eS-Zw,REJECT,Hard reject term: upgrade
Apple iMac G4,Apple,computer,Apple iMac G4 Lamp Shade 15” Computer Keyboard Speakers Powers On Locked,199.0,2026-04-30T00:00:00.000Z,,https://www.ebay.com/itm/267648796289?_skw=Apple+iMac+G4&itmmeta=01KQV4N9MCM07YEJQXW83FT2CX&hash=item3e511c8681:g:zrwAAeSwnxZp6nKo&itmprp=enc%3AAQALAAAA8GfYFPkwiKCW4ZNSs2u11xDQhtVrdDvTw2JsmYA%2BrOANTgcG8YISCTlIx%2FSlLbyFCIVJriI3M0wvg5qi1JkULQw45PwbGPZo4GRygU%2FQeHG3u2skRwmTC6OWwyu1tC5jBVRJwugnPQaH3jwk5HaiVn5Zwo5%2Bh7NaRAUWp7ZaAW%2F5R9PMPveoiIg2qnjsoX50%2BzqGtxXvoDdDoDNoHJWa5gc6aIgbeASDH%2FnodHTE9YWr250zDoBMuqXvC%2F5Yy0oXsdP22WOQ1iLCqht5bxwZwk%2FouXJFUd81LGkSd%2BLKrY%2Bk3Mf3p0oJB2%2Bxp2tRHZa%2Buw%3D%3D%7Ctkp%3ABk9SR8Ca1eS-Zw,REJECT,Hard reject term: lamp
Apple iMac G4,Apple,computer,"Apple iMac G4 M6498 15"" Screen 700MHZ 512 MB Mac OS X 10.4 Tested",51.0,2026-05-03T00:00:00.000Z,,https://www.ebay.com/itm/298256664208?_skw=Apple+Power+Mac+G4&itmmeta=01KQV4NQRENRTT919K3K7RY6BM&hash=item45717b8690:g:E~YAAeSwQIpp6lxV&itmprp=enc%3AAQALAAAA0GfYFPkwiKCW4ZNSs2u11xAjaLH6yKuysAKLkQDz6MCAIAeP%2F55hyp%2BdeSLb%2BsIYA3shp1%2BAcmPNQCUqvs46Gou29wfDGDsvRAPpvBmUyulDrjmPKoSZJSFCS%2Bwgap4eOBmpXEYQ7dCyRVlCOj3iE4ZzA%2BPU3%2BFjbDmadZZXxd3lOBGOV%2FmiCRpYsHvDe3NXpsETd%2FkSyzlEJt89VaVWTfiTbz6X7pC%2BiKV2GmAej1VXtXPt6CNAEBbX0Ev%2BhxB0s6%2BqC0Qu%2FUVqWbLEuJ27hOY%3D%7Ctkp%3ABk9SR7L81uS-Zw,REJECT,Below full-unit price floor for Apple iMac G4: $51 < $150
Apple iMac G4,Apple,computer,"Apple Power PC Dome iMac g4 15""",189.0,2026-04-19T00:00:00.000Z,,https://www.ebay.com/itm/327110611015?_skw=Apple+iMac+G4&itmmeta=01KQV4N9MC0D34KQC40DRBFNC2&hash=item4c294fd047:g:FcAAAeSw8oNp49rV&itmprp=enc%3AAQALAAAA0GfYFPkwiKCW4ZNSs2u11xDGNThXiIkInKrETHlPps8gpSopYm7PjhgvtETrF2W3r86aN89Pl68R%2BgqFx%2Fuyh%2Fe5mbZJrt1nSEOtJbD%2FDo4lFmYcIzEFX%2FW0td7bWi3e9NH6Wh%2B4SR183vXQ7cDE%2BE%2Fep3uYGxJKxo%2FhGZjFaRbiAjnLkWvEtnrAYKf3J7%2F6IOHXAV1%2FNQpuX%2FHhdfUpngyIXzdUwivTLgAUDc1aQsSQSDJdlGpajfTFsNf8LT3jXkT7H94P6kLfneWd0XYmyVs%3D%7Ctkp%3ABk9SR8Ka1eS-Zw,FULL_UNIT,"Exact model, no hard reject terms, above price floor"
Apple iMac G4,Apple,computer,"Great Condition + Working  Apple iMac G4 20"" 1.25GHz PowerPC Model 4,5 2003",2653.09,2026-05-04T00:00:00.000Z,,https://www.ebay.com/itm/226996320437?_skw=Apple+iMac+G4&itmmeta=01KQV4N9MCDF050DB75ESR58H2&hash=item34da08f8b5:g:xswAAeSwPJ5o2CPa&itmprp=enc%3AAQALAAAA0GfYFPkwiKCW4ZNSs2u11xDTTcxJ14pyYdbjxM9ouuxkOwEq2IJRzrld9dK%2FaRwFkxB%2FJEk2XqMnJs5NFJF9gE2SL3ffytyIJHFjOOSIa6PFgCwxp0itU0w8skBz%2FC29J2z7JyxnPubR3eq25Tm34mzp%2BEtJhgXhfBzrzJFoApDmGBt1vtlNXwfpRUdDNZ1sGWHYkl21zBWlyopMWBpwutBYIiAzXFzur2IyZi2KM6B7I2k4R%2BBpgjxcswTwepBBEFTaIKB3y9b3JuRleqInGP4%3D%7Ctkp%3ABk9SR8Ca1eS-Zw,FULL_UNIT,"Exact model, no hard reject terms, above price floor"
