source,item_id,title,status,price_cents,price_usd,url,image_url,condition,shipping_payer,query,scraped_at,review_status,notes
mercari_apify,m71933083142,"Vintage Yamaha CR-400, 16W AM/FM Stereo Receiver. 1977, Power check only",on_sale,10475,104.75,https://www.mercari.com/us/item/m71933083142/,,,,vintage stereo receiver,2026-05-05T22:40:15.852224+00:00,MERCARI_ACTIVE_CONTEXT_ONLY,NEEDS_MANUAL_REVIEW | NEEDS_MANUAL_SOLD_COMPS
mercari_apify,m89817048581,VINTAGE QUEON QT240 STEREO RECEIVER,on_sale,30000,300.00,https://www.mercari.com/us/item/m89817048581/,,,,vintage stereo receiver,2026-05-05T22:40:15.852288+00:00,MERCARI_ACTIVE_CONTEXT_ONLY,NEEDS_MANUAL_REVIEW | NEEDS_MANUAL_SOLD_COMPS
mercari_apify,m78327549228,Vintage sears LXI Series AM/FM Stereo Receiver AS IS,on_sale,7500,75.00,https://www.mercari.com/us/item/m78327549228/,,,,vintage stereo receiver,2026-05-05T22:40:15.852305+00:00,MERCARI_ACTIVE_CONTEXT_ONLY,NEEDS_MANUAL_REVIEW | NEEDS_MANUAL_SOLD_COMPS
mercari_apify,m68758883975,Technics SA-5470 Stereo Receiver - Tested - Working Condition - Wood Panel,on_sale,22562,225.62,https://www.mercari.com/us/item/m68758883975/,,,,vintage stereo receiver,2026-05-05T22:40:15.852317+00:00,MERCARI_ACTIVE_CONTEXT_ONLY,NEEDS_MANUAL_REVIEW | NEEDS_MANUAL_SOLD_COMPS
mercari_apify,m72702176229,Vintage Kenwood KR-4140 Stereo Receiver Tested Working As Is. (Please Read),on_sale,12600,126.00,https://www.mercari.com/us/item/m72702176229/,,,,vintage stereo receiver,2026-05-05T22:40:15.852329+00:00,MERCARI_ACTIVE_CONTEXT_ONLY,NEEDS_MANUAL_REVIEW | NEEDS_MANUAL_SOLD_COMPS
mercari_apify,m28766210763,Vintage Penncrest 5905 AM/FM Stereo Receiver w/ Speakers Wood Cabinet Tested,on_sale,16999,169.99,https://www.mercari.com/us/item/m28766210763/,,,,vintage stereo receiver,2026-05-05T22:40:15.852341+00:00,MERCARI_ACTIVE_CONTEXT_ONLY,NEEDS_MANUAL_REVIEW | NEEDS_MANUAL_SOLD_COMPS
mercari_apify,m78187813081,Vintage 1970’s Sears Model 7410 AM/FM Stereo Receiver,on_sale,13795,137.95,https://www.mercari.com/us/item/m78187813081/,,,,vintage stereo receiver,2026-05-05T22:40:15.852350+00:00,MERCARI_ACTIVE_CONTEXT_ONLY,NEEDS_MANUAL_REVIEW | NEEDS_MANUAL_SOLD_COMPS
mercari_apify,m96193529582,vintage Sony STR-AV1070X FM/AM stereo receiver and audio/video control center.,on_sale,15500,155.00,https://www.mercari.com/us/item/m96193529582/,,,,vintage stereo receiver,2026-05-05T22:40:15.852362+00:00,MERCARI_ACTIVE_CONTEXT_ONLY,NEEDS_MANUAL_REVIEW | NEEDS_MANUAL_SOLD_COMPS
mercari_apify,m59546251391,Vintage Nakamichi CR-1A Cassette Deck - Hi-Fi Japan - For Parts Repair,on_sale,14499,144.99,https://www.mercari.com/us/item/m59546251391/,,,,cassette deck,2026-05-05T22:40:15.852373+00:00,MERCARI_ACTIVE_CONTEXT_ONLY,NEEDS_MANUAL_REVIEW | NEEDS_MANUAL_SOLD_COMPS
mercari_apify,m67484701285,Sony Dual Stereo Cassette Deck Untested,on_sale,5000,50.00,https://www.mercari.com/us/item/m67484701285/,,,,cassette deck,2026-05-05T22:40:15.852386+00:00,MERCARI_ACTIVE_CONTEXT_ONLY,NEEDS_MANUAL_REVIEW | NEEDS_MANUAL_SOLD_COMPS
mercari_apify,m29913241982,Pioneer Tape Deck CT-W300 Dolby Stereo Dual Cassette Player Recorder,on_sale,6000,60.00,https://www.mercari.com/us/item/m29913241982/,,,,cassette deck,2026-05-05T22:40:15.852397+00:00,MERCARI_ACTIVE_CONTEXT_ONLY,NEEDS_MANUAL_REVIEW | NEEDS_MANUAL_SOLD_COMPS
mercari_apify,m42531468106,Pioneer CT-W310 Dual Deck Cassette Recorder For Parts Deck A Not Working,on_sale,2710,27.10,https://www.mercari.com/us/item/m42531468106/,,,,cassette deck,2026-05-05T22:40:15.852408+00:00,MERCARI_ACTIVE_CONTEXT_ONLY,NEEDS_MANUAL_REVIEW | NEEDS_MANUAL_SOLD_COMPS
mercari_apify,m61475698480,Koss hg-30 stereo boombox,on_sale,3200,32.00,https://www.mercari.com/us/item/m61475698480/,,,,cassette deck,2026-05-05T22:40:15.852419+00:00,MERCARI_ACTIVE_CONTEXT_ONLY,NEEDS_MANUAL_REVIEW | NEEDS_MANUAL_SOLD_COMPS
