category,name,star_rating,cuisine,speed,avg_price_per_meal,area,what_i_got,notes,tags
Directory Import,1000 faces coffee,,coffee,quicker,,dt,,"Imported from openstreetmap; needs Matthew try/rating. Address: 510 North Thomas Street, Athens, 30601. OSM hours: Mo-Fr 07:00-18:00; Sa-Su 09:00-17:00.",osm|directory-import|active-unverified|cafe|coffee|has-hours|has-address|source-visitathensga-com|visit-athens|source-openstreetmap
Directory Import,1000 faces coffee | wire park,,coffee,quicker,,watkinsville,,"Imported from openstreetmap; needs Matthew try/rating. Address: 1725 Electric Avenue, Watkinsville, 30677.",osm|directory-import|active-unverified|cafe|coffee|has-address|source-openstreetmap
Directory Import,1785 bar & grill,,bar,fast,,dt,,"Imported from openstreetmap; needs Matthew try/rating. Address: 420 East Clayton Street, Athens, 30601. OSM hours: Mo-We 19:00-02:00; Th-Sa 21:00-02:00; Su 18:00-00:00.",osm|directory-import|active-unverified|bar|has-hours|has-address|source-openstreetmap
Directory Import,40 watt club,,restaurant,sit down,,athens area,,Imported from visitathensga.com; needs Matthew try/rating.,visit-athens|directory-import|active-unverified|source-visitathensga-com
Directory Import,agua linda mexican restaurant prince ave,,mexican,sit down,,normaltown/prince,,Imported from visitathensga.com; needs Matthew try/rating.,visit-athens|directory-import|active-unverified|source-visitathensga-com
Directory Import,akademia,,pub,fast,,west athens,,"Imported from openstreetmap; needs Matthew try/rating. Address: 150 Crane Drive, Athens, 30606.",osm|directory-import|active-unverified|pub|has-address|source-openstreetmap
Directory Import,akademia brewing company,,brewery,fast,,athens area,,Imported from visitathensga.com; needs Matthew try/rating.,visit-athens|directory-import|active-unverified|brewery|drinks|source-visitathensga-com
Directory Import,allgood lounge,,bar,fast,,dt,,"Imported from openstreetmap; needs Matthew try/rating. Address: 256 East Clayton Street, Athens, 30601. OSM hours: Mo-Th 16:00-02:00; Fr-Sa 15:00-02:00.",osm|directory-import|active-unverified|bar|has-hours|has-address|source-openstreetmap
Directory Import,alumni cookie dough,,dessert,sit down,,dt,,"Imported from openstreetmap; needs Matthew try/rating. Address: 480 North Thomas Street, Athens, 30601. OSM hours: Tu-Su 13:00-22:00.",osm|directory-import|active-unverified|restaurant|dessert|has-hours|has-address|source-openstreetmap
Directory Import,american deli,,deli,fast,,athens area,,"Imported from openstreetmap; needs Matthew try/rating. Address: 2139 West Broad Street, Athens, 30606.",osm|directory-import|active-unverified|fast-food|deli|fast-casual|has-address|source-openstreetmap
Directory Import,amici,,pizza,sit down,,athens area,,"Imported from openstreetmap; needs Matthew try/rating. Address: 8851 Macon Highway, Athens, 30606. OSM hours: Tu-Th 11:00-21:00; Fr-Sa 11:00-22:00; Su 12:00-20:00.",osm|directory-import|active-unverified|restaurant|pizza|has-hours|has-address|source-openstreetmap
Directory Import,andy's frozen custard,,ice cream,fast,,athens area,,"Imported from openstreetmap; needs Matthew try/rating. Address: 2180 West Broad Street, Athens, 30606.",osm|directory-import|active-unverified|ice-cream|chain|has-address|source-openstreetmap
Directory Import,another broken egg cafe,,cafe,quicker,,athens area,,Imported from openstreetmap; needs Matthew try/rating.,osm|directory-import|active-unverified|cafe|source-openstreetmap
Directory Import,arby's,,sandwich,fast,,athens area,,"Imported from openstreetmap; needs Matthew try/rating. Address: 2362 West Broad Street, Athens, 30606. OSM hours: 09:00-24:00.",osm|directory-import|active-unverified|fast-food|sandwich|chain|fast-casual|has-hours|has-address|source-openstreetmap
Directory Import,arden’s garden,,juice,fast,,dt,,"Imported from openstreetmap; needs Matthew try/rating. Address: 184 College Avenue, Athens, 30601.",osm|directory-import|active-unverified|fast-food|juice|fast-casual|has-address|source-openstreetmap
Directory Import,athena mediterranean kitchen,,mediterranean,fast,,dt,,Imported from openstreetmap; needs Matthew try/rating.,osm|directory-import|active-unverified|fast-food|mediterranean|fast-casual|source-openstreetmap
Directory Import,athens bagel company,,breakfast,sit down,,dt,,"Imported from openstreetmap; needs Matthew try/rating. Address: 268 North Jackson Street, Athens, 30601.",osm|directory-import|active-unverified|restaurant|breakfast|has-address|source-visitathensga-com|visit-athens|source-openstreetmap
Directory Import,athens pizza,,pizza,sit down,,five points,,"Imported from openstreetmap; needs Matthew try/rating. Address: 2095 South Milledge Avenue, Athens, 30605. OSM hours: Mo-Su 11:00-22:00.",osm|directory-import|active-unverified|restaurant|pizza|has-hours|has-address|source-openstreetmap
Directory Import,athentic brewing company,,bar,fast,,athens area,,"Imported from openstreetmap; needs Matthew try/rating. Address: 108 Park Avenue, Athens, 30601.",osm|directory-import|active-unverified|bar|has-address|source-visitathensga-com|visit-athens|source-openstreetmap|brewery|drinks
Directory Import,automatic pizza,,pizza,sit down,,normaltown/prince,,"Imported from openstreetmap; needs Matthew try/rating. Address: 1397 Prince Avenue, Athens, 30606. OSM hours: Mo-Sa 11:00-23:00; Su 12:00-22:00.",osm|directory-import|active-unverified|restaurant|pizza|has-hours|has-address|source-openstreetmap
Directory Import,bad moon,,bar,fast,,dt,,"Imported from openstreetmap; needs Matthew try/rating. Address: 246 East Clayton Street, Athens, 30601.",osm|directory-import|active-unverified|bar|has-address|source-openstreetmap
Directory Import,baddies,,burgers,sit down,,five points,,"Imported from openstreetmap; needs Matthew try/rating. Address: 1591 South Lumpkin Street, Athens, 30605.",osm|directory-import|active-unverified|restaurant|burgers|has-address|source-openstreetmap
Directory Import,baddies burger house,,burgers,fast,,watkinsville,,"Imported from openstreetmap; needs Matthew try/rating. Address: 1011 Park Drive, Watkinsville, 30677. OSM hours: Mo-Sa 11:00-21:00.",osm|directory-import|active-unverified|fast-food|burgers|fast-casual|has-hours|has-address|source-openstreetmap
Directory Import,baddies burgers,,burgers,sit down,,normaltown/prince,,"Imported from openstreetmap; needs Matthew try/rating. Address: 1307 Prince Avenue, Athens, 30606. OSM hours: Mo-Sa 11:00-21:00.",osm|directory-import|active-unverified|restaurant|burgers|has-hours|has-address|source-openstreetmap
Directory Import,barberitos,,mexican,fast,,five points,,"Imported from openstreetmap; needs Matthew try/rating. Address: 1739 South Lumpkin Street, Athens, 30606.",osm|directory-import|active-unverified|fast-food|mexican|chain|fast-casual|has-address|source-openstreetmap
Directory Import,barberitos southwestern grille & cantina downtown,,bar,sit down,,athens area,,Imported from visitathensga.com; needs Matthew try/rating.,visit-athens|directory-import|active-unverified|award-winning|chain|source-visitathensga-com
Directory Import,beef o'brady's,,american,sit down,,eastside,,"Imported from openstreetmap; needs Matthew try/rating. Address: 1860 Barnett Shoals Road, Athens, 30605. OSM hours: Su-Th 11:00-23:00; Fr-Sa 11:00-23:30.",osm|directory-import|active-unverified|restaurant|american|chain|has-hours|has-address|source-openstreetmap
Directory Import,bee's knees bakery,,bakery,quicker,,west athens,,Imported from openstreetmap; needs Matthew try/rating. OSM hours: Mo-Sa 10:00-18:00.,osm|directory-import|active-unverified|bakery|has-hours|source-openstreetmap
Directory Import,billy & beau's coffee,,coffee,quicker,,five points,,"Imported from openstreetmap; needs Matthew try/rating. Address: 1540 South Lumpkin Street, Athens, 30605.",osm|directory-import|active-unverified|cafe|coffee|has-address|source-openstreetmap
Directory Import,biscuit express,,restaurant,sit down,,dt,,Imported from openstreetmap; needs Matthew try/rating.,osm|directory-import|active-unverified|restaurant|source-openstreetmap
Directory Import,blazers,,wings,fast,,dt,,Imported from openstreetmap; needs Matthew try/rating.,osm|directory-import|active-unverified|fast-food|wings|fast-casual|source-openstreetmap
Directory Import,blenderz smoothies & bowls,,juice,fast,,dt,,"Imported from openstreetmap; needs Matthew try/rating. Address: 245 Oconee Street, Athens, 30601.",osm|directory-import|active-unverified|fast-food|juice|fast-casual|has-address|source-openstreetmap
Directory Import,blenz,,açaí,fast,,dt,,"Imported from openstreetmap; needs Matthew try/rating. Address: 150 Green Street, Athens, 30602. OSM hours: Mo-Fr 09:00-16:00.",osm|directory-import|active-unverified|fast-food|a-a|fast-casual|has-hours|has-address|source-openstreetmap
Directory Import,blind pig tavern,,restaurant,sit down,,athens area,,"Imported from openstreetmap; needs Matthew try/rating. Address: 2440 West Broad Street, Athens, 30606.",osm|directory-import|active-unverified|restaurant|has-address|source-openstreetmap
Directory Import,boar's head lounge,,bar,fast,,dt,,"Imported from openstreetmap; needs Matthew try/rating. Address: 260 East Washington Street, Athens, 30601. OSM hours: Mo-Sa 20:00-02:00.",osm|directory-import|active-unverified|bar|has-hours|has-address|source-openstreetmap
Directory Import,bojangles',,chicken,fast,,eastside,,"Imported from openstreetmap; needs Matthew try/rating. Address: 3210 Lexington Road, Athens, 30605.",osm|directory-import|active-unverified|fast-food|chicken|chain|fast-casual|has-address|source-openstreetmap
Directory Import,bolton dining commons,,burgers,fast,,five points,,"Imported from openstreetmap; needs Matthew try/rating. Address: 790 South Lumpkin Street, Athens, 30609. OSM hours: Mo-Fr 07:00-22:00; Sa-Su 08:30-22:00.",osm|directory-import|active-unverified|fast-food|burgers|fast-casual|has-hours|has-address|source-openstreetmap
Directory Import,bon de paris,,sandwich,sit down,,eastside,,"Imported from openstreetmap; needs Matthew try/rating. Address: 1860 Barnett Shoals Road, Athens, 30605.",osm|directory-import|active-unverified|restaurant|sandwich|has-address|source-openstreetmap
Directory Import,bone island grillhouse,,restaurant,sit down,,west athens,,Imported from openstreetmap; needs Matthew try/rating.,osm|directory-import|active-unverified|restaurant|source-openstreetmap
Directory Import,boss dawg barbeque,,bbq,sit down,,dt,,"Imported from openstreetmap; needs Matthew try/rating. Address: 10010 Fortson Store Road, Hull, 30646.",osm|directory-import|active-unverified|restaurant|bbq|has-address|source-openstreetmap
Directory Import,bourbon street,,bar,fast,,dt,,"Imported from openstreetmap; needs Matthew try/rating. Address: 345 East Broad Street, Athens, 30601.",osm|directory-import|active-unverified|bar|has-address|source-openstreetmap
Directory Import,brett's restaurant,,restaurant,sit down,,west athens,,"Imported from openstreetmap; needs Matthew try/rating. Address: 3190 Atlanta Highway, Athens, 30606.",osm|directory-import|active-unverified|restaurant|has-address|source-openstreetmap
Directory Import,bruster's ice cream,,dessert,fast,,west athens,,Imported from openstreetmap; needs Matthew try/rating.,osm|directory-import|active-unverified|ice-cream|dessert|chain|source-openstreetmap
Directory Import,bruxie,,chicken,sit down,,dt,,"Imported from openstreetmap; needs Matthew try/rating. Address: 311 East Broad Street, Athens, 30601. OSM hours: Mo-We 10:30-21:00; Th-Fr 09:00-02:00; Sa 09:00-22:00; Su 09:00-21:00.",osm|directory-import|active-unverified|restaurant|chicken|has-hours|has-address|source-openstreetmap
Directory Import,bubble cafe,,bubble tea,quicker,,dt,,"Imported from openstreetmap; needs Matthew try/rating. Address: 247 East Broad Street, Athens, 30601.",osm|directory-import|active-unverified|cafe|bubble-tea|has-address|source-openstreetmap
Directory Import,buddha bar,,bar,fast,,dt,,"Imported from openstreetmap; needs Matthew try/rating. Address: 431 East Broad Street, Athens, 30601. OSM hours: Mo-Sa 21:00-02:00.",osm|directory-import|active-unverified|bar|has-hours|has-address|source-openstreetmap
Directory Import,buddhas delight,,deli,sit down,,west athens,,Imported from openstreetmap; needs Matthew try/rating.,osm|directory-import|active-unverified|restaurant|deli|source-openstreetmap
Directory Import,bulldawg pizza & wings,,pizza,fast,,five points,,"Imported from openstreetmap; needs Matthew try/rating. Address: 2026 South Milledge Avenue, Athens, 30605. OSM hours: Mo 11:00-01:00; Tu-We 11:00-01:15; Th 11:00-01:45; Fr-Sa 11:00-02:45; Su 16:00-23:00.",osm|directory-import|active-unverified|fast-food|pizza|fast-casual|has-hours|has-address|source-openstreetmap
Directory Import,burger king,,burgers,fast,,dt,,"Imported from openstreetmap; needs Matthew try/rating. Address: 600 US 29 North, Athens, 30601. OSM hours: Mo-Th 07:00-21:00; Fr-Sa 07:00-22:00; Su 07:00-21:00.",osm|directory-import|active-unverified|fast-food|burgers|chain|fast-casual|has-hours|has-address|source-openstreetmap
Directory Import,butt hutt,,bbq,sit down,,athens area,,"Imported from openstreetmap; needs Matthew try/rating. Address: 480 Macon Highway, Athens, 30606.",osm|directory-import|active-unverified|restaurant|bbq|has-address|source-openstreetmap
Directory Import,camino real taqueria,,mexican,sit down,,dt,,"Imported from openstreetmap; needs Matthew try/rating. Address: 401 North Avenue, Athens, 30601.",osm|directory-import|active-unverified|restaurant|mexican|has-address|source-openstreetmap
Directory Import,captain d's,,seafood,fast,,normaltown/prince,,"Imported from openstreetmap; needs Matthew try/rating. Address: 425 Prince Avenue, Athens, 30601.",osm|directory-import|active-unverified|fast-food|seafood|chain|fast-casual|has-address|source-openstreetmap
Directory Import,caribou coffee,,coffee,quicker,,athens area,,"Imported from openstreetmap; needs Matthew try/rating. Address: 2198 West Broad Street, Athens, 30606.",osm|directory-import|active-unverified|cafe|coffee|chain|has-address|source-openstreetmap
Directory Import,carrabba's italian grill,,italian,sit down,,west athens,,"Imported from openstreetmap; needs Matthew try/rating. Address: 3194 Atlanta Highway, Athens, 30606.",osm|directory-import|active-unverified|restaurant|italian|chain|has-address|source-openstreetmap
Directory Import,catch 22 gastropub,,pub,fast,,west athens,,Imported from openstreetmap; needs Matthew try/rating. OSM hours: Mo-We 11:00-21:00; Th-Fr 11:00-22:30; Sa 11:00-21:30.,osm|directory-import|active-unverified|pub|has-hours|source-openstreetmap
Directory Import,"cheba hut ""toasted"" subs",,sandwich,sit down,,dt,,"Imported from openstreetmap; needs Matthew try/rating. Address: 135 West Washington Street, Athens, 30601. OSM hours: Mo-Th 11:00-01:00; Fr-Sa 11:00-02:00; Su 11:00-24:00.",osm|directory-import|active-unverified|restaurant|sandwich|has-hours|has-address|source-openstreetmap
Directory Import,cheddar's,,american,sit down,,west athens,,Imported from openstreetmap; needs Matthew try/rating.,osm|directory-import|active-unverified|restaurant|american|chain|source-openstreetmap
Directory Import,chibugan cafe & more,,filipino,quicker,,winterville,,"Imported from openstreetmap; needs Matthew try/rating. Address: 302 Athens Road, Winterville, 30683.",osm|directory-import|active-unverified|cafe|filipino|has-address|source-openstreetmap
Directory Import,chick-fil-a,,chicken,fast,,west athens,,"Imported from openstreetmap; needs Matthew try/rating. Address: 1870 Epps Bridge Parkway, Athens, 30606. OSM hours: Mo-Sa 06:00-22:00.",osm|directory-import|active-unverified|fast-food|chicken|chain|fast-casual|has-hours|has-address|source-openstreetmap
Directory Import,chicken salad chick,,chicken,fast,,west athens,,"Imported from openstreetmap; needs Matthew try/rating. Address: 196 Alps Road, Athens, 30606.",osm|directory-import|active-unverified|fast-food|chicken|chain|fast-casual|has-address|source-openstreetmap
Directory Import,chili's,,tex-mex,sit down,,west athens,,"Imported from openstreetmap; needs Matthew try/rating. Address: 183 Alps Road, Athens, 30606.",osm|directory-import|active-unverified|restaurant|tex-mex|chain|has-address|source-openstreetmap
Directory Import,china 1,,chinese,sit down,,five points,,"Imported from openstreetmap; needs Matthew try/rating. Address: 2026 South Milledge Avenue, Athens, 30605. OSM hours: Tu-Th 11:00-22:00; Fr-Sa 11:00-22:30; Su 12:00-22:00.",osm|directory-import|active-unverified|restaurant|chinese|has-hours|has-address|source-openstreetmap
Directory Import,china star super buffet,,chinese,sit down,,west athens,,"Imported from openstreetmap; needs Matthew try/rating. Address: 3567 Atlanta Highway, Athens, 30606.",osm|directory-import|active-unverified|restaurant|chinese|has-address|source-openstreetmap
Directory Import,china wok,,chinese,fast,,athens area,,"Imported from openstreetmap; needs Matthew try/rating. Address: 2475 Jefferson Road, Athens, 30606.",osm|directory-import|active-unverified|fast-food|chinese|chain|fast-casual|has-address|source-openstreetmap
Directory Import,choco pronto,,coffee,quicker,,dt,,"Imported from openstreetmap; needs Matthew try/rating. Address: 700 Baxter Street, Athens, 30605. OSM hours: Mo-Fr 07:00-16:00; Sa 08:00-16:00; Su 08:00-15:00.",osm|directory-import|active-unverified|cafe|coffee|has-hours|has-address|source-openstreetmap
Directory Import,choo choo,,japanese,sit down,,eastside,,Imported from openstreetmap; needs Matthew try/rating.,osm|directory-import|active-unverified|restaurant|japanese|source-openstreetmap|korean
Directory Import,chuck e. cheese,,pizza,sit down,,west athens,,"Imported from openstreetmap; needs Matthew try/rating. Address: 3654 Atlanta Highway, Athens, 30606.",osm|directory-import|active-unverified|restaurant|pizza|chain|has-address|source-openstreetmap
Directory Import,chuck's fish,,seafood,sit down,,dt,,"Imported from openstreetmap; needs Matthew try/rating. Address: 220 West Broad Street, Athens, 30601.",osm|directory-import|active-unverified|restaurant|seafood|has-address|source-openstreetmap
Directory Import,cicis pizza,,pizza,sit down,,west athens,,"Imported from openstreetmap; needs Matthew try/rating. Address: 3190 Atlanta Highway, Athens, 30606.",osm|directory-import|active-unverified|restaurant|pizza|chain|has-address|source-openstreetmap
Directory Import,city bar,,bar,fast,,dt,,"Imported from openstreetmap; needs Matthew try/rating. Address: 220 College Avenue, Athens, 30601.",osm|directory-import|active-unverified|bar|has-address|source-openstreetmap
Directory Import,clarke's collective,,bar,fast,,five points,,"Imported from openstreetmap; needs Matthew try/rating. Address: 225 North Lumpkin Street, Athens, 30601.",osm|directory-import|active-unverified|bar|has-address|source-openstreetmap
Directory Import,clean eatz,,restaurant,sit down,,west athens,,Imported from openstreetmap; needs Matthew try/rating.,osm|directory-import|active-unverified|restaurant|chain|source-openstreetmap
Directory Import,condor chocolates,,dessert,sit down,,athens area,,Imported from visitathensga.com; needs Matthew try/rating.,visit-athens|directory-import|active-unverified|source-visitathensga-com
Directory Import,cook out,,american,fast,,west athens,,"Imported from openstreetmap; needs Matthew try/rating. Address: 1020 Jordan Drive, Athens.",osm|directory-import|active-unverified|fast-food|american|chain|fast-casual|has-address|source-openstreetmap
Directory Import,cool world ice cream shop,,dessert,fast,,eastside,,"Imported from openstreetmap; needs Matthew try/rating. Address: 1040 Gaines School Road, Athens, 30605. OSM hours: Tu-Sa 12:00-20:00; Su 13:00-19:00.",osm|directory-import|active-unverified|ice-cream|dessert|has-hours|has-address|source-openstreetmap
Directory Import,costa alegre,,caribbean,sit down,,west athens,,"Imported from openstreetmap; needs Matthew try/rating. Address: Hog Mountain Road, 30677.",osm|directory-import|active-unverified|restaurant|caribbean|has-address|source-openstreetmap
Directory Import,cozy bar,,bar,fast,,dt,,"Imported from openstreetmap; needs Matthew try/rating. Address: 179 North Jackson Street, Athens, 30601.",osm|directory-import|active-unverified|bar|has-address|source-openstreetmap
Directory Import,cracker barrel,,bar,sit down,,west athens,,Imported from openstreetmap; needs Matthew try/rating.,osm|directory-import|active-unverified|restaurant|bar|chain|source-openstreetmap
Directory Import,cravings,,cafe,quicker,,dt,,"Imported from openstreetmap; needs Matthew try/rating. Address: 480 East Broad Street, Athens, 30601.",osm|directory-import|active-unverified|cafe|has-address|source-openstreetmap
Directory Import,creature comforts brewing co,,brewery,fast,,athens area,,Imported from visitathensga.com; needs Matthew try/rating.,visit-athens|directory-import|active-unverified|brewery|drinks|source-visitathensga-com
Directory Import,cutters pub,,pub,fast,,dt,,"Imported from openstreetmap; needs Matthew try/rating. Address: 120 East Clayton Street, Athens, 30601. OSM hours: Mo-Fr 14:00-02:00; Sa 12:00-02:00.",osm|directory-import|active-unverified|bar|pub|has-hours|has-address|source-openstreetmap
Directory Import,d92 korean bbq,,korean,sit down,,athens area,,"Imported from openstreetmap; needs Matthew try/rating. Address: 1080 Baxter Street, Athens, 30606-6315. OSM hours: Mo-Su 11:30-00:00.",osm|directory-import|active-unverified|restaurant|bbq|korean|has-hours|has-address|source-openstreetmap
Directory Import,dairy queen,,burgers,fast,,dt,,"Imported from openstreetmap; needs Matthew try/rating. Address: 376 Oak Street, Athens, 30605.",osm|directory-import|active-unverified|fast-food|burgers|chain|fast-casual|has-address|source-openstreetmap
Directory Import,dawg day frosé,,bar,fast,,dt,,"Imported from openstreetmap; needs Matthew try/rating. Address: 175 Tracy Street, 30601. OSM hours: Th 16:00-20:00; Fr 16:00-20:00; Sa 11:00-15:00.",osm|directory-import|active-unverified|bar|has-hours|has-address|source-openstreetmap
Directory Import,dawg gone good bbq,,bbq,sit down,,dt,,"Imported from openstreetmap; needs Matthew try/rating. Address: 224 West Hancock Avenue, Athens, 30601.",osm|directory-import|active-unverified|restaurant|bbq|has-address|source-visitathensga-com|visit-athens|source-openstreetmap|black-owned
Directory Import,dawg house nutrition,,restaurant,sit down,,dt,,"Imported from openstreetmap; needs Matthew try/rating. Address: 680 US 29 Highway North, Athens, 30601.",osm|directory-import|active-unverified|restaurant|has-address|source-openstreetmap
Directory Import,daydreamer cafe,,cafe,quicker,,dt,,"Imported from openstreetmap; needs Matthew try/rating. Address: 174 North Finley Street, Athens, 30601. OSM hours: Mo-Su 09:00-15:00.",osm|directory-import|active-unverified|cafe|has-hours|has-address|source-openstreetmap
Directory Import,dead beat club,,bar,fast,,dt,,"Imported from openstreetmap; needs Matthew try/rating. Address: 585 Barber Street, Athens, 30601.",osm|directory-import|active-unverified|bar|has-address|source-openstreetmap
Directory Import,depalma's italian cafe,,italian,sit down,,dt,,"Imported from openstreetmap; needs Matthew try/rating. Address: 401 East Broad Street, Athens, 30601. OSM hours: Mo-Tu 17:00-21:30; We-Th 11:30-21:30; Fr-Sa 11:30-22:00; Su 12:00-21:30.",osm|directory-import|active-unverified|restaurant|italian|has-hours|has-address|source-openstreetmap
Directory Import,depalma's italian café,,italian,sit down,,west athens,,"Imported from openstreetmap; needs Matthew try/rating. Address: 2080 Timothy Road, Athens, 30606.",osm|directory-import|active-unverified|restaurant|italian|has-address|source-openstreetmap
Directory Import,ding tea,,bubble tea,quicker,,dt,,"Imported from openstreetmap; needs Matthew try/rating. Address: 121 West Washington Street, Athens, 30601. OSM hours: Su-Th 12:00-21:00; Fr-Sa 12:00-22:00.",osm|directory-import|active-unverified|cafe|bubble-tea|has-hours|has-address|source-openstreetmap
