date_found,source,listing_url,screenshot_path,model_guess,title,asking_price,location,seller_condition_claim,photos_available,notes,status
2026-05-04,Mercari (Apify),,,Nakamichi Dragon,tokyo revengers ken ryuguji/draken gachapon sticker set,2.94,Online,,no,Mercari. Condition: None. Shipping: None,unreviewed
2026-05-04,Mercari (Apify),,,Pioneer SX-1250,Philips Magnavox RF Modulator,4.11,Online,,no,Mercari. Condition: None. Shipping: None,unreviewed
2026-05-04,Mercari (Apify),,,McIntosh MA 5100,Dermacol makeup make-up,5.70,Online,,no,Mercari. Condition: None. Shipping: None,unreviewed
2026-05-04,Mercari (Apify),,,Nakamichi Dragon,2023 Topps Chrome NPB REIA NAKACHI 44/75 Rookie Yellow SP Chunichi Dragons #126,6.80,Online,,no,Mercari. Condition: None. Shipping: None,unreviewed
2026-05-04,Mercari (Apify),,,Technics SL-1200,Technics SL-1200 vinyl record player enamel pin,7.00,Online,,no,Mercari. Condition: None. Shipping: None,unreviewed
2026-05-04,Mercari (Apify),,,Nakamichi Dragon,Takemichi Hanagaki clear file folders,7.10,Online,,no,Mercari. Condition: None. Shipping: None,unreviewed
2026-05-04,Mercari (Apify),,,Nakamichi Dragon,Tokyo revenger visual art sheet + sticker ichiban kuji prize F,7.11,Online,,no,Mercari. Condition: None. Shipping: None,unreviewed
2026-05-04,Mercari (Apify),,,Nakamichi Dragon,Tokyo revengers visual art file sheets ichiban kuji prize F,7.12,Online,,no,Mercari. Condition: None. Shipping: None,unreviewed
2026-05-04,Mercari (Apify),,,Nakamichi Dragon,Chifuyu Matsuno clear file folders,7.17,Online,,no,Mercari. Condition: None. Shipping: None,unreviewed
2026-05-04,Mercari (Apify),,,Nakamichi Dragon,Chifuyu Matsuno Clear file folders,7.17,Online,,no,Mercari. Condition: None. Shipping: None,unreviewed
2026-05-04,Facebook Marketplace (Apify),https://www.facebook.com/marketplace/item/1312158484130632,,,Dj controller sale,10.00,"Atlanta, GA",,yes,"Facebook Marketplace. Location: Atlanta, GA",unreviewed
2026-05-04,Facebook Marketplace (Apify),https://www.facebook.com/marketplace/item/1536616398139449,,,Roe Precision Chrome 50 ft Vintage Tape Measure,10.00,"Atlanta, GA",,yes,"Facebook Marketplace. Location: Atlanta, GA",unreviewed
2026-05-04,Facebook Marketplace (Apify),https://www.facebook.com/marketplace/item/1947967022487875,,,"Technics SU-V98 Parts only-for Technics Receivers SU-V450,550,650,660; SU-V78,98; SU-Z780,980;R330",10.00,"Atlanta, GA",,yes,"Facebook Marketplace. Location: Atlanta, GA",unreviewed
2026-05-04,Facebook Marketplace (Apify),https://www.facebook.com/marketplace/item/3432902540202402,,,Stereo System (Radio Only),10.00,"Atlanta, GA",,yes,"Facebook Marketplace. Location: Atlanta, GA",unreviewed
2026-05-04,Facebook Marketplace (Apify),https://www.facebook.com/marketplace/item/27294021386852284,,,Pioneer 760W,15.00,"Atlanta, GA",,yes,"Facebook Marketplace. Location: Atlanta, GA",unreviewed
2026-05-04,Facebook Marketplace (Apify),https://www.facebook.com/marketplace/item/26711504271816814,,,Hinge Mount Plates For Technics Sl-1200/1210 Turntables - Durable & Easy Install,15.19,"Athens, GA",,yes,"Facebook Marketplace. Location: Athens, GA",unreviewed
2026-05-04,Facebook Marketplace (Apify),https://www.facebook.com/marketplace/item/2414095589074673,,,VINTAGE REALISTIC MPA-35 SOLID STATE P.A. AMPLIFIER MODEL 32-2022 Read,19.00,"Atlanta, GA",,yes,"Facebook Marketplace. Location: Atlanta, GA",unreviewed
2026-05-04,Facebook Marketplace (Apify),https://www.facebook.com/marketplace/item/26368773012781851,,,Vintage Mcintosh Mc2300 Amplifier 4-position Meter Range Switch Part 146-152,20.00,"Athens, GA",,yes,"Facebook Marketplace. Location: Athens, GA",unreviewed
2026-05-04,Facebook Marketplace (Apify),https://www.facebook.com/marketplace/item/3339057186276823,,,Flash sale for medical bills,20.00,"Athens, GA",,yes,"Facebook Marketplace. Location: Athens, GA",unreviewed
2026-05-04,Facebook Marketplace (Apify),https://www.facebook.com/marketplace/item/794906973438854,,,Kenwood KR-A46 Stereo Receiver,20.00,"Atlanta, GA",,yes,"Facebook Marketplace. Location: Atlanta, GA",unreviewed
